sampleTimeStamp.seconds;sampleTimeStamp.microseconds;y;x;alt;vel_north;vel_east;vel_down;roll;pitch;heading;speed;arate_lon;arate_trans;arate_down;accel_x;accel_y;accel_down
1584854178;263701;57.70989984;11.927801575;40.581672342;0.02221777;0.1384806;0.007130033;-1.2850362455;-3.8299219158;120.88932306;0.1402516;-0.05548844;0.0678828;0.03664456;0.0781562;0.18838;0.1981282
1584854178;313652;57.709899796;11.927801591;40.581932393;0.02359366;0.1404028;0.002352049;-1.2779971525;-3.8261403734;120.8893535;0.1423714;0.1555186;-0.1122763;0.1921098;-0.09396777;-0.1112161;-0.2274994
1584854178;363682;57.709899752;11.927801606;40.582312679;0.01829116;0.1347667;0.006684168;-1.2835431408;-3.8301649075;120.88860881;0.1360023;-0.2312479;0.0348006;-0.08082254;0.1092987;0.1879259;0.2300732
1584854178;413773;57.709899708;11.927801622;40.582568459;0.02031257;0.138901;0.004630925;-1.2773406019;-3.8263016417;120.88871736;0.1403784;0.3551244;0.04090865;0.08038376;-0.1439737;-0.1300992;-0.2646341
1584854178;463695;57.709899664;11.927801637;40.582936453;0.01938419;0.1353872;0.004571459;-1.2848405349;-3.8299264857;120.88974247;0.1367678;-0.3283637;-0.1210888;0.2320104;0.1817055;0.1965758;0.2897492
1584854178;513691;57.70989962;11.927801653;40.58316636;0.02074122;0.1364293;0.006402813;-1.278368873;-3.8261211621;120.8899906;0.1379969;0.5778316;0.07543474;0.205368;-0.001700555;-0.1250586;-0.2689317
1584854178;563667;57.709899578;11.927801661;40.583528566;0.0227835;0.1167271;0.003064664;-1.2838162406;-3.8391222099;120.89114698;0.1189298;-0.466319;-0.528379;-0.09249955;0.4405111;0.1242428;0.3661284
1584854178;613818;57.709899541;11.927801655;40.583697659;0.0382589;0.09794424;0.01135486;-1.2785211976;-3.8538631322;120.89237784;0.1051514;0.3928379;-0.1715776;0.0958185;0.4178908;-0.03886766;-0.1008277
1584854178;663625;57.70989951;11.927801629;40.583902584;0.05051704;0.06919803;0.006279211;-1.2823828489;-3.8831113881;120.89392524;0.08567578;-0.5182145;-0.7693179;0.09446568;0.746745;0.07618377;0.3143158
1584854178;713733;57.709899485;11.92780158;40.583957165;0.06471633;0.04490577;0.01175902;-1.2829303236;-3.9068641146;120.8942358;0.07877012;0.09464151;-0.3252102;0.06559972;0.4324563;-0.01633216;-0.1722609
1584854178;763599;57.709899467;11.927801511;40.584115815;0.07908157;0.01740805;0.005252884;-1.289539246;-3.931948942;120.89748284;0.0809749;-0.3740333;-0.6578221;0.08530894;0.7160373;0.0362588;0.2208738
1584854178;813646;57.709899456;11.927801421;40.584233256;0.09458087;-0.005491779;0.01122108;-1.2921242955;-3.9441457765;120.90179301;0.09474017;0.442026;0.05602063;0.1401519;0.4179672;0.04770355;-0.1650193
1584854178;863729;57.709899452;11.927801311;40.584514596;0.1080751;-0.03172318;0.001132232;-1.2958148509;-3.9507898104;120.90721809;0.1126347;-0.3831647;-0.2611098;0.2439137;0.6689584;-0.03185216;0.04202202
1584854178;913639;57.709899454;11.92780118;40.584886603;0.1174254;-0.05794591;0.006542061;-1.299690336;-3.9471055485;120.91092467;0.1309444;0.2306869;0.4004565;-0.123361;0.4691708;0.08360229;-0.0521532
1584854178;963689;57.709899462;11.927801029;40.585448599;0.1327853;-0.0821833;-0.004399324;-1.2993811965;-3.9402225174;120.91611863;0.1561603;-0.207165;-0.00953804;0.1091896;0.6325961;-0.05174447;-0.03297728
1584854179;13647;57.709899481;11.927800859;40.586166468;0.147569;-0.1074121;8.364004e-05;-1.2953557834;-3.9343562951;120.91990937;0.1825211;0.1593779;0.2786284;0.1579859;0.5206199;0.08833195;0.05475289
1584854179;63708;57.709899516;11.927800668;40.587010688;0.1606611;-0.1334745;-0.007053426;-1.2931755796;-3.931269501;120.92361818;0.2088718;-0.05256949;-0.1567824;0.0700947;0.5821172;-0.05847271;-0.02458846
1584854179;113669;57.709899558;11.927800455;40.587872247;0.1746823;-0.1602998;0.0004438382;-1.2962541069;-3.932802346;120.92845389;0.2370864;0.0009677247;0.1989069;0.06439957;0.6195395;0.08114786;0.106193
1584854179;163627;57.709899606;11.927800222;40.588679789;0.189637;-0.1855443;-0.00441883;-1.2936265895;-3.9336516372;120.93327502;0.265309;0.01737722;-0.107681;0.0779441;0.5981241;-0.1110583;-0.03568025
1584854179;213673;57.709899661;11.927799966;40.58950708;0.2041479;-0.2146627;-0.0005775354;-1.2996911373;-3.9400784404;120.93778011;0.2962371;-0.185276;-0.004825041;0.01387638;0.686721;0.09178937;0.09842313
1584854179;263719;57.709899724;11.927799688;40.590266883;0.2212608;-0.243424;-0.005022408;-1.2971739595;-3.9423595155;120.94414172;0.3289553;-0.0575185;-0.215214;0.01266158;0.6804647;-0.07826131;0.004887318
1584854179;313701;57.709899796;11.927799383;40.591125781;0.2410278;-0.2765267;-0.003330209;-1.2994706697;-3.9520279468;120.95343187;0.3668262;0.1793989;-0.1425069;0.07165277;0.6975497;0.0481958;-0.05356836
1584854179;363644;57.709899876;11.92779905;40.592084174;0.2626044;-0.311809;-0.007838332;-1.3026745139;-3.9636010005;120.96389725;0.4076591;-0.4783857;-0.3803062;0.3363572;0.8939937;0.03688379;0.241526
1584854179;413716;57.709899967;11.927798687;40.593099874;0.2836929;-0.3490491;-0.008004992;-1.298898262;-3.9764226299;120.97174869;0.4497965;0.1992825;-0.2452729;0.0815298;0.8305634;-0.05290052;-0.08001466
1584854179;463716;57.709900067;11.927798292;40.594208954;0.307249;-0.3881107;-0.008791628;-1.2977460566;-3.9921195045;120.97979214;0.4950069;0.3280379;-0.2800976;0.2289276;0.9017838;0.04471461;-0.003320251
1584854179;513689;57.709900177;11.927797864;40.595409451;0.3280047;-0.4299457;-0.01189367;-1.3000717274;-4.0071644864;120.98876367;0.5407775;-0.05213885;-0.3193914;0.1628656;0.915508;0.04819985;0.04688445
1584854179;563667;57.709900298;11.927797402;40.596711035;0.3537918;-0.470752;-0.01540639;-1.3016449503;-4.020999221;120.99666414;0.588877;-0.2600743;-0.4341089;0.2959968;1.000722;-0.0005791711;0.1496391
1584854179;613700;57.709900431;11.927796905;40.598089977;0.3790788;-0.513562;-0.01649605;-1.2998902792;-4.0347671691;121.00452071;0.6383154;0.03074685;-0.3716689;0.1592438;1.003477;-0.05329107;0.1195998
1584854179;663777;57.709900576;11.927796372;40.599525742;0.4064881;-0.5590082;-0.01570757;-1.2959313964;-4.0498401955;121.01272718;0.6911749;0.2314997;-0.2726628;0.2268289;1.077647;-0.05544312;0.007672124
1584854179;713646;57.709900733;11.927795799;40.601052318;0.4327644;-0.6078299;-0.01745913;-1.3003598902;-4.066950054;121.02050078;0.7461516;0.111215;-0.2664873;0.2077263;1.137773;-0.00194056;-0.04396062
1584854179;763736;57.709900903;11.927795185;40.602638136;0.4603447;-0.6590092;-0.01782461;-1.3073435767;-4.0832269759;121.02939353;0.8038721;0.1008114;-0.2235971;0.103437;1.155158;-0.05276044;0.009257981
1584854179;813783;57.709901086;11.927794529;40.604263542;0.4926603;-0.7093348;-0.01991884;-1.3111390109;-4.0977477467;121.04055979;0.8636376;0.0801748;-0.2634068;0.2791388;1.184878;-0.01581873;-0.009675802
1584854179;863745;57.709901284;11.927793829;40.605926948;0.5228849;-0.7648579;-0.01860361;-1.3115032305;-4.1120271994;121.04989776;0.9265075;0.2274137;-0.1777167;0.1419733;1.296567;0.003996317;0.04612457
1584854179;913662;57.709901496;11.927793083;40.607614695;0.5557321;-0.821955;-0.02002344;-1.3142402649;-4.1275647206;121.05835184;0.9921936;-0.03043734;-0.2980379;0.186881;1.32906;0.013202;0.135564
1584854179;963793;57.709901724;11.927792287;40.609285078;0.5909553;-0.8828253;-0.01988833;-1.3147669603;-4.1444868419;121.06298243;1.06236;0.2854677;-0.3801545;0.1407808;1.470835;0.006271171;0.1786915
1584854180;13715;57.709901972;11.927791442;40.611019622;0.6245045;-0.9466249;-0.02020308;-1.3068835368;-4.1602806947;121.06577809;1.134066;0.02376713;-0.4094539;-0.02388557;1.495327;0.05967149;0.1065269
1584854180;63606;57.709902247;11.927790544;40.613073075;0.6622297;-1.010876;-0.021151;-1.2980967086;-4.1798429318;121.0689898;1.208478;-0.01044844;-0.4543737;0.1050283;1.500033;0.1132069;0.0903971
1584854180;113760;57.709902539;11.927789591;40.615112008;0.6975948;-1.077728;-0.01957177;-1.2886927412;-4.2001429218;121.07346878;1.283798;0.1566264;-0.31769;-0.1469463;1.485538;0.05409191;0.0659316
1584854180;163638;57.709902849;11.927788584;40.617131691;0.7434922;-1.141766;-0.01909176;-1.2799424505;-4.2194659033;121.08318179;1.362501;0.1685108;-0.3580606;0.3636123;1.591615;-0.07392588;0.1807586
1584854180;213725;57.709903178;11.92778752;40.619115692;0.7825235;-1.210678;-0.01934274;-1.2754976841;-4.2378919838;121.09203182;1.441556;-0.02513475;-0.341858;0.2441622;1.635231;-0.05737382;0.03198935
1584854180;263715;57.709903524;11.927786399;40.621100457;0.8226655;-1.280733;-0.01981203;-1.2828774958;-4.2523128901;121.09757592;1.522187;-0.2505796;-0.2822033;0.004839107;1.575005;-0.04438102;0.04705151
1584854180;313667;57.709903891;11.927785222;40.623106395;0.8695484;-1.347016;-0.01900072;-1.2971640502;-4.2624231384;121.10162886;1.603298;-0.2174964;-0.05088057;0.166206;1.644438;-0.09790745;0.09990534
1584854180;363708;57.709904277;11.927783986;40.6252309;0.9111021;-1.418814;-0.02354179;-1.3210933695;-4.2690983122;121.10363894;1.686161;-0.4090459;-0.08830819;-0.07828431;1.672087;-0.1420034;0.06143589
1584854180;413729;57.709904684;11.927782694;40.627584794;0.9543153;-1.486572;-0.03015987;-1.3586675426;-4.2736824185;121.10920534;1.766526;-0.7819698;-0.142398;0.07352659;1.617427;-0.02708913;0.08984534
1584854180;463696;57.709905109;11.927781343;40.630128442;1.001023;-1.555657;-0.03164002;-1.401670313;-4.2741238925;121.11920342;1.849896;-0.5978678;0.03886958;0.375257;1.684626;-0.01020125;0.0492998
1584854180;513693;57.709905554;11.927779934;40.632878914;1.037779;-1.62891;-0.03949204;-1.4434719139;-4.2747336149;121.12937798;1.931407;-1.019699;-0.1733446;0.02194034;1.668598;-0.02667677;0.07570948
1584854180;563670;57.709906018;11.927778466;40.635772207;1.082972;-1.697751;-0.03852638;-1.48170035;-4.2772056836;121.14048328;2.01375;-0.5250446;-0.06594192;0.2123112;1.680919;-0.167138;-0.009541127
1584854180;613679;57.7099065;11.927776939;40.638766517;1.121862;-1.767827;-0.04242807;-1.5206057278;-4.2846272552;121.15024206;2.09375;-1.098846;-0.3258943;0.370138;1.616765;0.1398943;0.2464685
1584854180;663763;57.709906999;11.927775354;40.641721146;1.160773;-1.83745;-0.03781909;-1.5467746575;-4.2895366166;121.15574587;2.173388;-0.6589083;-0.04660461;0.2041196;1.608379;0.05229663;0.04242188
1584854180;713690;57.709907517;11.927773712;40.644657644;1.198716;-1.906264;-0.04163869;-1.555710961;-4.2947300133;121.16061475;2.251836;-0.2574275;-0.3510738;0.07081626;1.608723;0.1628509;0.1387754
1584854180;763712;57.709908051;11.927772013;40.647516219;1.238845;-1.973109;-0.0366834;-1.5469418991;-4.2966604146;121.16510767;2.329785;0.4761601;-0.00294737;0.224276;1.574265;0.206091;0.2479882
1584854180;813737;57.709908603;11.927770259;40.650349346;1.274276;-2.039579;-0.03992415;-1.5294999998;-4.2916407149;121.16925451;2.404924;0.2510807;0.007962117;0.1005862;1.500677;-0.104044;-0.09694213
1584854180;863705;57.709909171;11.927768448;40.653306903;1.312867;-2.105655;-0.0395554;-1.5268686725;-4.2840208046;121.17151386;2.481411;0.1515812;0.2914018;0.1509489;1.504272;0.0006374831;0.08175968
1584854180;913687;57.709909757;11.927766584;40.656469209;1.353041;-2.169027;-0.04630385;-1.5388211557;-4.2746434505;121.17287964;2.556442;-0.1144534;0.1411261;-0.02296502;1.34502;-0.249401;-0.05289869
1584854180;963763;57.709910362;11.927764668;40.659939603;1.396081;-2.23197;-0.05516739;-1.5592588895;-4.2764873469;121.17511244;2.632629;-0.7713106;-0.3148211;0.1320082;1.529917;-0.009142973;0.06177283
1584854181;13719;57.709910989;11.9277627;40.663649557;1.436584;-2.294143;-0.05433247;-1.5684311698;-4.2792655583;121.17784693;2.706818;-0.1092545;-0.0270304;-0.04670042;1.431162;-0.154495;-0.1071284
1584854181;63732;57.709911638;11.927760676;40.667869885;1.47868;-2.357428;-0.06040289;-1.5973548027;-4.2939166202;121.18671464;2.782798;-0.746321;-0.3606524;0.4565141;1.466425;-0.112848;0.02223375
1584854181;113783;57.709912304;11.927758597;40.672217067;1.515481;-2.424625;-0.06243719;-1.6505383871;-4.3139537449;121.19780305;2.859281;-1.069649;-0.4651749;0.3646363;1.423014;0.1293192;0.1003113
1584854181;163647;57.709912987;11.927756464;40.676588038;1.555301;-2.490862;-0.06205961;-1.691368173;-4.3363213693;121.20870594;2.936555;-0.6211731;-0.4814273;0.2311158;1.444081;0.0677507;0.1333562
1584854181;213687;57.709913689;11.927754276;40.680839667;1.593077;-2.554431;-0.06004596;-1.7116147243;-4.3507976346;121.22039536;3.010484;-0.7479322;-0.2047956;0.4289569;1.40859;0.07724662;-0.01431678
1584854181;263694;57.709914406;11.927752034;40.685187493;1.62597;-2.618833;-0.06358638;-1.7489680621;-4.3545606122;121.23059447;3.082542;-0.9454174;0.02604435;0.3371822;1.420912;0.09115098;-0.04326167
